0,0,100
0,0,100
0,0,100
0,0,100
0,0,100
0,0,100
0,0,100
0,0,100
75,0,100
115,0,100
144,84,54
165,84,54
177,84,54
186,84,54
187,84,54
186,84,54
182,84,54
179,84,54
175,84,54
168,84,54
163,91,42
158,91,42
150,91,42
145,91,42
140,91,42
135,91,42
128,91,42
124,91,42
121,91,42
116,91,42
113,14,99
111,14,99
109,14,99
108,14,99
108,14,99
107,14,99
108,14,99
108,14,99
109,14,99
113,14,99
115,76,65
118,76,65
121,76,65
124,76,65
127,76,65
130,76,65
135,76,65
137,76,65
140,76,65
144,76,65
146,96,28
148,96,28
151,96,28
152,96,28
153,96,28
153,96,28
153,96,28
153,96,28
153,96,28
152,96,28
151,28,96
150,28,96
147,28,96
146,28,96
145,28,96
143,28,96
141,28,96
139,28,96
138,28,96
136,28,96
135,66,75
134,66,75
132,66,75
131,66,75
130,66,75
130,66,75
130,66,75
129,66,75
130,66,75
130,66,75
130,99,15
130,99,15
131,99,15
132,99,15
133,99,15
133,99,15
134,99,15
135,99,15
136,99,15
138,99,15
139,41,91
139,41,91
140,41,91
141,41,91
141,41,91
142,41,91
142,41,91
142,41,91
143,41,91
143,41,91
143,54,84
143,54,84
142,54,84
142,54,84
141,54,84
141,54,84
140,54,84
140,54,84
139,54,84
139,54,84
138,100,0
138,100,0
137,100,0
137,100,0
136,100,0
136,100,0
136,100,0
136,100,0
135,100,0
135,100,0
135,54,84
135,54,84
136,54,84
136,54,84
136,54,84
137,54,84
137,54,84
137,54,84
137,54,84
137,54,84
138,42,91
138,42,91
138,42,91
138,42,91
138,42,91
139,42,91
139,42,91
139,42,91
139,42,91
139,42,91
139,99,14
139,99,14
140,99,14
140,99,14
140,99,14
139,99,14
140,99,14
140,99,14
140,99,14
140,99,14
140,65,76
140,65,76
140,65,76
140,65,76
139,65,76
140,65,76
140,65,76
140,65,76
140,65,76
139,65,76
139,29,96
139,29,96
139,29,96
139,29,96
139,29,96
138,29,96
138,29,96
138,29,96
138,29,96
138,29,96
138,96,28
138,96,28
137,96,28
137,96,28
137,96,28
137,96,28
137,96,28
137,96,28
136,96,28
136,96,28
136,75,66
136,75,66
136,75,66
136,75,66
136,75,66
136,75,66
136,75,66
136,75,66
136,75,66
137,75,66
137,15,99
137,15,99
137,15,99
137,15,99
137,15,99
137,15,99
137,15,99
138,15,99
137,15,99
137,15,99
136,91,41
136,91,41
137,91,41
137,91,41
136,91,41
136,91,41
136,91,41
136,91,41
136,91,41
136,91,41
136,84,55
136,84,55
136,84,55
136,84,55
